"id";"name";"slug";"description";"is_preset";"division_id";"is_system_role";"is_active";"created_at";"updated_at"
"1";"Super Administrator";"super_admin";"Full system access with all permissions";"1";"1";"1";"1";"2025-08-05 14:01:57";"2025-08-05 14:01:57"
"2";"Head Marketing";"head_marketing";"Head Marketing";"1";"1";"0";"1";"2025-10-14 10:08:34";"2025-12-11 09:39:48"
"3";"Staff Marketing";"staff_marketing";"Staff Marketing";"1";"1";"0";"1";"2025-10-14 10:09:31";"2025-12-11 09:39:48"
"4";"Head Operational";"head_operational";"Head Operational";"1";"9";"0";"1";"2025-10-14 10:09:31";"2025-12-11 09:40:31"
"5";"Staff Operational";"staff_operational";"Staff Operational";"1";"9";"0";"1";"2025-10-14 10:09:31";"2025-12-11 09:40:31"
"10";"Head Purchasing";"head_purchasing";"Head Purchasing";"1";"6";"0";"1";"2025-10-14 10:09:31";"2025-12-11 09:39:48"
"11";"Staff Purchasing";"staff_purchasing";"Staff Purchasing";"1";"6";"0";"1";"2025-10-14 10:09:31";"2025-12-11 09:39:48"
"12";"Head Accounting";"head_accouting";"Head Accounting";"1";"8";"0";"1";"2025-10-14 10:09:31";"2025-12-11 09:39:48"
"13";"Staff Accounting";"staff_accounting";"Staff Accounting";"1";"8";"0";"1";"2025-10-14 10:09:31";"2025-12-11 09:39:48"
"14";"Head HRD";"head_hrd";"Head HRD";"1";"4";"0";"1";"2025-10-14 10:09:31";"2025-12-11 09:39:48"
"15";"Staff HRD";"staff_hrd";"Staff HRD";"1";"4";"0";"1";"2025-10-14 10:09:31";"2025-12-11 09:39:48"
"16";"Head Warehouse";"head_warehouse";"Head Warehouse";"1";"3";"0";"1";"2025-10-14 10:09:31";"2025-12-11 09:39:48"
"30";"Administrator";"administrator";"Administrator";"1";"5";"0";"1";"2025-10-16 13:20:23";"2025-12-11 09:39:48"
"32";"Staff Warehouse";"staff_warehouse";"Staff Warehouse Role";"1";"3";"0";"1";"2025-10-16 14:06:57";"2025-12-11 09:39:48"
"33";"Head IT";"head_it";"Head IT Role";"1";"7";"0";"1";"2025-10-16 14:07:17";"2025-12-11 09:39:48"
"34";"Staff IT";"staff_it";"Staff IT Role";"1";"7";"0";"1";"2025-10-16 14:07:17";"2025-12-11 09:39:48"
"35";"Head Service";"head_service";"Head of Service Division - All Areas & Departments";"1";"2";"0";"1";"2025-12-10 16:08:14";"2025-12-11 09:39:48"
"36";"Admin Service Pusat";"admin_service_pusat";"Central Service Admin - Jakarta Pusat & Selatan";"1";"2";"0";"1";"2025-12-10 16:08:14";"2025-12-11 09:39:48"
"37";"Admin Service Area";"admin_service_area";"Regional Service Admin - Branch Areas";"1";"2";"0";"1";"2025-12-10 16:08:14";"2025-12-11 09:39:48"
"38";"Supervisor Service";"supervisor_service";"Service Supervisor - Operational Level";"1";"2";"0";"1";"2025-12-10 16:08:14";"2025-12-11 09:39:48"
"39";"Staff Service";"staff_service";"Service Staff - Field Operations";"1";"2";"0";"1";"2025-12-10 16:08:14";"2025-12-11 09:39:48"
"40";"Manager Service Area";"manager-service-area";"Manager untuk service area specific";"1";"2";"0";"1";"2025-12-11 10:04:43";"2025-12-11 10:04:43"
